"IDs" "TimeDomain_MEAN_BodyAccleration_Xdirection" "TimeDomain_MEAN_BodyAccleration_Ydirection" "TimeDomain_MEAN_BodyAccleration_Zdirection" "TimeDomain_MEAN_GravityAccleration_Xdirection" "TimeDomain_MEAN_GravityAccleration_Ydirection" "TimeDomain_MEAN_GravityAccleration_Zdirection" "TimeDomain_MEAN_BodyAcclerationJerk_Xdirection" "TimeDomain_MEAN_BodyAcclerationJerk_Ydirection" "TimeDomain_MEAN_BodyAcclerationJerk_Zdirection" "TimeDomain_MEAN_BodyGyro_Xdirection" "TimeDomain_MEAN_BodyGyro_Ydirection" "TimeDomain_MEAN_BodyGyro_Zdirection" "TimeDomain_MEAN_BodyGyroJerk_Xdirection" "TimeDomain_MEAN_BodyGyroJerk_Ydirection" "TimeDomain_MEAN_BodyGyroJerk_Zdirection" "TimeDomain_MEAN_BodyAccleration_Magnitude" "TimeDomain_MEAN_GravityAccleration_Magnitude" "TimeDomain_MEAN_BodyAcclerationJerk_Magnitude" "TimeDomain_MEAN_BodyGyro_Magnitude" "TimeDomain_MEAN_BodyGyroJerk_Magnitude" "FreqDomain_MEAN_BodyAccleration_Xdirection" "FreqDomain_MEAN_BodyAccleration_Ydirection" "FreqDomain_MEAN_BodyAccleration_Zdirection" "FreqDomain_MEAN_BodyAcclerationFrequency_Xdirection" "FreqDomain_MEAN_BodyAcclerationFrequency_Ydirection" "FreqDomain_MEAN_BodyAcclerationFrequency_Zdirection" "FreqDomain_MEAN_BodyAcclerationJerk_Xdirection" "FreqDomain_MEAN_BodyAcclerationJerk_Ydirection" "FreqDomain_MEAN_BodyAcclerationJerk_Zdirection" "FreqDomain_MEAN_BodyAcclerationJerkFrequency_Xdirection" "FreqDomain_MEAN_BodyAcclerationJerkFrequency_Ydirection" "FreqDomain_MEAN_BodyAcclerationJerkFrequency_Zdirection" "FreqDomain_MEAN_BodyGyro_Xdirection" "FreqDomain_MEAN_BodyGyro_Ydirection" "FreqDomain_MEAN_BodyGyro_Zdirection" "FreqDomain_MEAN_BodyGyroFrequency_Xdirection" "FreqDomain_MEAN_BodyGyroFrequency_Ydirection" "FreqDomain_MEAN_BodyGyroFrequency_Zdirection" "FreqDomain_MEAN_BodyAccleration_Magnitude" "FreqDomain_MEAN_BodyAccleration_MagnitudeFrequency" "FreqDomain_MEAN_BodyAcclerationJerk_Magnitude" "FreqDomain_MEAN_BodyAcclerationJerk_MagnitudeFrequency" "FreqDomain_MEAN_BodyGyro_Magnitude" "FreqDomain_MEAN_BodyGyro_MagnitudeFrequency" "FreqDomain_MEAN_BodyGyroJerk_Magnitude" "FreqDomain_MEAN_BodyGyroJerk_MagnitudeFrequency" "TimeDomain_STD_BodyAccleration_Xdirection" "TimeDomain_STD_BodyAccleration_Ydirection" "TimeDomain_STD_BodyAccleration_Zdirection" "TimeDomain_STD_GravityAccleration_Xdirection" "TimeDomain_STD_GravityAccleration_Ydirection" "TimeDomain_STD_GravityAccleration_Zdirection" "TimeDomain_STD_BodyAcclerationJerk_Xdirection" "TimeDomain_STD_BodyAcclerationJerk_Ydirection" "TimeDomain_STD_BodyAcclerationJerk_Zdirection" "TimeDomain_STD_BodyGyro_Xdirection" "TimeDomain_STD_BodyGyro_Ydirection" "TimeDomain_STD_BodyGyro_Zdirection" "TimeDomain_STD_BodyGyroJerk_Xdirection" "TimeDomain_STD_BodyGyroJerk_Ydirection" "TimeDomain_STD_BodyGyroJerk_Zdirection" "TimeDomain_STD_BodyAccleration_Magnitude" "TimeDomain_STD_GravityAccleration_Magnitude" "TimeDomain_STD_BodyAcclerationJerk_Magnitude" "TimeDomain_STD_BodyGyro_Magnitude" "TimeDomain_STD_BodyGyroJerk_Magnitude" "FreqDomain_STD_BodyAccleration_Xdirection" "FreqDomain_STD_BodyAccleration_Ydirection" "FreqDomain_STD_BodyAccleration_Zdirection" "FreqDomain_STD_BodyAcclerationJerk_Xdirection" "FreqDomain_STD_BodyAcclerationJerk_Ydirection" "FreqDomain_STD_BodyAcclerationJerk_Zdirection" "FreqDomain_STD_BodyGyro_Xdirection" "FreqDomain_STD_BodyGyro_Ydirection" "FreqDomain_STD_BodyGyro_Zdirection" "FreqDomain_STD_BodyAccleration_Magnitude" "FreqDomain_STD_BodyAcclerationJerk_Magnitude" "FreqDomain_STD_BodyGyro_Magnitude" "FreqDomain_STD_BodyGyroJerk_Magnitude"
"1.LAYING" 0.2755602984 -0.009993427296 -0.10367647592 0.6536000812 0.00180991134 0.173429879908 0.10542389074 -0.0091081345478 -0.0097073998522 -0.047820507524 -0.081572107614 0.091057596 -0.102873027962 -0.032762605126 -0.05029414926 -0.68165261914 -0.68165261914 -0.758722205452 -0.7297462604 -0.8418132134 -0.730597112 -0.695976906774 -0.78755512418 -0.15298158793928 -0.054855177316 0.00707348966 -0.74147025822 -0.75468887732 -0.8241124308 0.102942590688 -0.199689549534 -0.055251226168 -0.75945079434 -0.80471785162 -0.74987487104 -0.2154557402678 -0.225878579004 -0.11644662092 -0.70018521228 -0.053410770486 -0.73008222156 0.18358634828 -0.7815936516 -0.18681839302 -0.8614742344 -0.007925183334 -0.725155065086 -0.6755175641066 -0.7642307128 -0.9547916186 -0.94500241294 -0.92047239162 -0.73954202384 -0.74985630858 -0.8404686332 -0.7806932632 -0.80791568702 -0.76042779512 -0.8172124926 -0.8624238314 -0.8296001413874 -0.701443132364 -0.701443132364 -0.7437645372 -0.7359452224 -0.8611451482 -0.72362382092 -0.68629820098 -0.77211205382 -0.76188482307 -0.76262973886 -0.8555114336 -0.790114151 -0.8135780052 -0.78858912774 -0.7522435206 -0.76462691232 -0.75593703166 -0.8708492863
"1.SITTING" 0.286063890851064 -0.0191679293893617 -0.112033680765957 0.727491189574468 -0.0189758163404255 -0.0898460044468085 0.101542594880851 0.0532141628168085 -0.0179467158561702 0.00815349924680851 -0.115631930689362 0.0408607359617021 -0.128566856217021 -0.022856970593617 -0.0858777192212766 -0.462107719148936 -0.462107719148936 -0.590069186929787 -0.466856285723404 -0.717214449574468 -0.585050623170213 -0.448499356057447 -0.50221788512766 -0.214396984995745 0.0196455722042553 0.0721008146974468 -0.618818014753192 -0.56241292306383 -0.63713348913617 -0.0714300121740426 -0.237688958851064 -0.141632195802128 -0.673551880212766 -0.585094167 -0.45571133106383 -0.109242973814043 -0.204114583297872 -0.111319868085106 -0.490359227282979 0.134475848989362 -0.553934041969149 0.149845451126383 -0.613526804106383 -0.0276343391680851 -0.733966195808511 0.131351877699574 -0.579355558676596 -0.397496907148936 -0.401743552617021 -0.957144500425532 -0.95884061212766 -0.934639457021277 -0.607601944874468 -0.551030474042553 -0.674418491276596 -0.709281928510638 -0.517810679070213 -0.426352735914894 -0.755271607659574 -0.732730799212766 -0.645232953851064 -0.507707989553192 -0.507707989553192 -0.574525901659575 -0.560833197659575 -0.738456468276596 -0.578081749930851 -0.411692711234043 -0.397196178595745 -0.631713557487234 -0.570269133829787 -0.711491761489362 -0.722968758723404 -0.486090848354894 -0.473465603546809 -0.595190772146808 -0.605694798617021 -0.602323059212766 -0.764463678021277
"1.STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 0.942952000377358 -0.272983832264151 0.0134905823226415 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.984278207358491 -0.984278207358491 -0.992367790566038 -0.976493792830189 -0.994966790566038 -0.995249932641509 -0.977070847735849 -0.985297098679245 0.0865153619088679 0.117478948718868 0.244858585792453 -0.994630797358491 -0.985418704528302 -0.990752166037736 0.314182940150943 0.0391618954943396 0.138581478749057 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.120293020603774 -0.0447191978169811 0.100607635139623 -0.985356361132075 0.284555290773585 -0.99254247754717 0.422220102264151 -0.984617623396226 -0.0286057725328302 -0.994815376981132 0.334498734301887 -0.995759901509434 -0.973190056415094 -0.979775876981132 -0.99376298509434 -0.981225957924528 -0.976324063584906 -0.994604542264151 -0.98564873245283 -0.992251177358491 -0.987191946603774 -0.98773444 -0.980645626981132 -0.992945106981132 -0.995137917358491 -0.992108467169811 -0.981942928867925 -0.981942928867925 -0.993096209433962 -0.978690028679245 -0.994733238679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 -0.995073759245283 -0.987018226792453 -0.992349818113208 -0.987497128679245 -0.987107727735849 -0.98234533 -0.982313804716981 -0.992536003396226 -0.978466072075472 -0.994671123207547
"1.WALKING" 0.279332371263158 -0.0187479141273684 -0.114560940389474 0.826835614736842 -0.0116592280105263 0.118389857797895 0.0721482028 0.00474814488842105 -0.0063798444502 -0.0741818200484211 -0.0463069623884211 0.0878576364852632 -0.0797038279684211 -0.0494199625589474 -0.0658168779094737 -0.716191707532632 -0.716191707532632 -0.774949084810526 -0.741403921261053 -0.855380924842105 -0.742579095785263 -0.700803891147368 -0.790790706421053 -0.0760750477147368 0.0659157977 0.0922884174494737 -0.768323868173684 -0.7581287948 -0.839529214631579 0.0855025480294737 -0.143741644036842 -0.0469543685189474 -0.76258226008421 -0.820327070589474 -0.770074346536842 -0.0363671664829474 -0.18374618106 0.0020195341768421 -0.712400453031579 0.128923276347263 -0.755631056947368 0.243681733150526 -0.802226740814737 -0.0428825715421053 -0.867905425052632 0.221139140084211 -0.741529691511579 -0.6975017288 -0.765077511368421 -0.978841439789474 -0.958985423684211 -0.94596230168421 -0.763760191267368 -0.747174018308421 -0.853205792 -0.802329376273684 -0.805894759578947 -0.783208893789474 -0.818944773968421 -0.877229309789474 -0.835836680210526 -0.719358904189474 -0.719358904189474 -0.762117785644211 -0.773328777126316 -0.867031824631579 -0.741777592 -0.715987012621053 -0.770685465433684 -0.780827977863158 -0.752748023989474 -0.866091829684211 -0.816400402147368 -0.801203645789474 -0.808741242526316 -0.767500209930526 -0.771686113231579 -0.795161455789474 -0.875314901473684
"1.WALKING_DOWNSTAIRS" 0.285833340816327 -0.0172434520918367 -0.105537275857143 0.791660145918367 -0.12510624564898 0.0822379261653061 0.079967768 0.00109401790387755 -0.0364394122391837 -0.0575594897408163 -0.0604814841959184 0.0897387076918367 -0.11395389444898 -0.0372047685183673 -0.0488660913995918 -0.542470952510204 -0.542470952510204 -0.597435726937959 -0.615398450959184 -0.758443343673469 -0.590397523204082 -0.526465399265306 -0.649229950687755 -0.121445934795918 0.0589334347530612 0.0770816937897959 -0.574563507987755 -0.583995386238775 -0.719404676816327 0.0409891842422449 -0.192237549522449 -0.0944343903102041 -0.630354022387755 -0.732635227142857 -0.610553125053061 -0.122611837418367 -0.130348172967347 -0.0344377896857143 -0.556149507122449 0.146286043918367 -0.537385466040816 0.179606717183673 -0.706387272081633 -0.029175174592449 -0.771820842040816 0.182388457195918 -0.599943083367347 -0.514150909879592 -0.603281298959184 -0.97804797244898 -0.969621950612245 -0.961224189183673 -0.557146257734694 -0.566571435426531 -0.742562546734694 -0.690295128918367 -0.729794643877551 -0.63592344377551 -0.704429148571429 -0.796970909591837 -0.702254628663265 -0.592873673061225 -0.592873673061225 -0.549433628 -0.676208396326531 -0.77116003344898 -0.604886051183673 -0.540364574755102 -0.610316914102041 -0.579350756087755 -0.578553769081633 -0.764555828571429 -0.711280294897959 -0.731340053673469 -0.68097834055102 -0.678972754408163 -0.568447474108163 -0.712440671061224 -0.786774216673469
"1.WALKING_UPSTAIRS" 0.276954483962264 -0.0201574251260377 -0.106752230132075 0.277637996415094 0.342906019150943 0.313128767150943 0.0564506972886792 0.014161802760566 0.00674617833320755 -0.0435092546849057 -0.0697443692245283 0.0883238449622642 -0.0762338455245283 -0.0394797271320755 -0.0580779552641509 -0.82159156405283 -0.82159156405283 -0.855031532924528 -0.854890468679245 -0.908481978867924 -0.834256549720755 -0.808739384954717 -0.910841104716981 -0.221659381913208 0.138275163381132 0.157625906120755 -0.836559932849057 -0.838873781754717 -0.925667753773585 0.118038323439623 -0.0666969009886793 0.0656770586962264 -0.868712923415094 -0.887818308113207 -0.883394763207547 0.0849564911283019 -0.217792345773585 0.0662922923126415 -0.825834423716981 0.0577528042773585 -0.82729842009434 0.298522636309434 -0.878363729622642 -0.000441111775283016 -0.913199351886792 0.204667509811321 -0.828258905830189 -0.807499148811321 -0.899747727169811 -0.980603698113208 -0.977030209056604 -0.973669272830189 -0.832863414301887 -0.827613965603774 -0.931445417358491 -0.901812236226415 -0.879231375283019 -0.899976075849057 -0.879029358113208 -0.920033481320755 -0.907385073773585 -0.827622280584906 -0.827622280584906 -0.831184642698113 -0.8716349 -0.912774110943396 -0.826376783018868 -0.818857659735849 -0.901539849811321 -0.844327986150943 -0.82729348309434 -0.935913177924528 -0.912784722830189 -0.876254690566038 -0.915612977924528 -0.854969961630189 -0.836472478981132 -0.889698271320755 -0.918241789433962
"10.LAYING" 0.280253399482759 -0.01816814265 -0.112337334601724 0.786444157931035 -0.138118841982759 -0.0336676443660345 0.101753810344828 0.0017965438275 -0.0362812043913793 0.0146997370137931 -0.0438888666160345 0.0696308292603448 -0.107122457206897 -0.0522499930362069 -0.0393321231 -0.736848950017241 -0.736848950017241 -0.791957883034483 -0.741491659896552 -0.834257319413793 -0.786062637241379 -0.721937274396552 -0.745135883155172 -0.171092486194828 -0.0173414574655172 0.00858676554637931 -0.796746131431034 -0.790609515327586 -0.801675872303448 0.0407879576913793 -0.190472836482759 -0.121266643206897 -0.809691179310345 -0.767659907241379 -0.794610435913793 -0.178413495591379 -0.233567799224138 -0.117265658017241 -0.739014986172414 0.0260216719 -0.758900230672414 0.200987552803103 -0.772102542068966 -0.1274664435 -0.822214567937931 0.11631817242069 -0.795498449793103 -0.696215015448276 -0.718738357224138 -0.964128874310345 -0.952859779482759 -0.929176579482759 -0.792717887727586 -0.784412235327586 -0.815260161931034 -0.837667685517241 -0.764852194637931 -0.799515250086207 -0.836309418103448 -0.821395196813793 -0.856344070172414 -0.741477551017241 -0.741477551017241 -0.763519586139655 -0.753815693965517 -0.820062373086207 -0.800060308086207 -0.702919247724138 -0.727037421086207 -0.807612138172414 -0.793083504894828 -0.827428976637931 -0.847870353103448 -0.765904586610345 -0.820467860310345 -0.783837329982759 -0.771643029293103 -0.784865719877586 -0.830715728206897
"10.SITTING" 0.262238398888889 -0.0160807911088889 -0.110890186185185 0.39841937212963 0.291894559488889 0.155057672425926 0.0598729711888889 0.0034884577037037 0.00180115838092593 -0.040129523037037 -0.0742005261296296 0.0702770750444444 -0.0921866320416111 -0.0416263487201667 -0.0370898170388889 -0.532759732444444 -0.532759732444444 -0.660491082381481 -0.613896487516667 -0.809318138333333 -0.595767555351852 -0.566475934796296 -0.677227775907407 -0.256266940296296 0.0789613109648148 0.113158629522222 -0.636178963107407 -0.657645224016667 -0.732647860981481 -0.058015271962963 -0.186393886944444 -0.0492151672074074 -0.726585202277778 -0.711232075925926 -0.70866460987037 -0.122410254251852 -0.195908911562963 -0.0603081050111111 -0.558674862111111 0.0649838453833333 -0.603718145907407 0.154018011796296 -0.716836262759259 -0.121885866240741 -0.819343559259259 0.0634606400948148 -0.558094080387037 -0.540593226027778 -0.631940369037037 -0.964196060925926 -0.958151254444444 -0.955335878703704 -0.622089169907407 -0.648154992757407 -0.76000451587037 -0.753851586037037 -0.643385012685185 -0.696529418888889 -0.805400183148148 -0.813071720740741 -0.796217109814815 -0.5479083545 -0.5479083545 -0.609413029240741 -0.660679293222222 -0.817797188148148 -0.544832812148148 -0.557676172940741 -0.643512390518518 -0.641649780314815 -0.662252227524074 -0.78621980462963 -0.764245921111111 -0.613321243166667 -0.72216525037037 -0.612185663055556 -0.62013459157037 -0.683338545185185 -0.829095480185185
"10.STANDING" 0.267153904386364 -0.0156385952090909 -0.103956864454545 0.214260000681818 0.445325147347727 0.0814421926363636 0.0626845373954545 -0.00239207141159091 0.0127352932922727 -0.0438970409181818 -0.0544676654863636 0.113289990590909 -0.0867579226863636 -0.0618283415681818 -0.0400132544227273 -0.650384102590909 -0.650384102590909 -0.722573588318182 -0.693761214772727 -0.790787661818182 -0.686158017272727 -0.605126731677273 -0.783376852954545 -0.203720742504545 0.190961579977273 0.0445547267136364 -0.710593224363636 -0.682556933886364 -0.8492085375 -0.0242822113181818 -0.130200371702273 -0.1257701185 -0.747661621136364 -0.771367981363636 -0.690114322272727 -0.066557260175 -0.0340762354818182 0.0871843730818182 -0.664030817272727 0.165477783068182 -0.677513688920454 0.0765577987 -0.760189658181818 0.0734224613409091 -0.8147429625 0.0296373376 -0.698561374545455 -0.579413477200227 -0.744414058181818 -0.954895319318182 -0.965443680681818 -0.933493793863636 -0.696441115159091 -0.6528467778 -0.859858710227273 -0.782939236818182 -0.763995991818182 -0.730617785681818 -0.768056287727273 -0.820787449545455 -0.721518652909091 -0.671672935227273 -0.671672935227273 -0.671098241340909 -0.734260848181818 -0.801498199772727 -0.704742694318182 -0.593605367609091 -0.743956338181818 -0.709117941795455 -0.644632584702273 -0.868985823409091 -0.795740538409091 -0.761965083636364 -0.771537943863636 -0.728147791795455 -0.665149093340909 -0.765904261818182 -0.800923490909091
"10.WALKING" 0.287287726169811 -0.0224806208622642 -0.110994904509434 0.689102694716981 0.00128127704339623 0.0731207365150943 0.091669412345283 -0.00799981512056604 8.805937e-05 -0.0627468933566038 -0.0542451833698113 0.0916193186037736 -0.0629513610352264 -0.0416733755528302 -0.0639163142909434 -0.409496878493774 -0.409496878493774 -0.533969393716981 -0.457703267935849 -0.683093008113208 -0.474879582490566 -0.399450975766038 -0.539101259698113 -0.295935602888679 0.000323574079245284 0.0851027589245283 -0.533235577941509 -0.512795080888679 -0.632487388867925 -0.162138567592453 -0.265521237698113 -0.128809546486792 -0.566965509622641 -0.562856923132075 -0.518804430754717 -0.1334937466 -0.174236493375849 -0.0899095473018868 -0.44503990254717 0.0966928934716981 -0.49196176874717 0.119073121024528 -0.588147747924528 -0.0308961592207547 -0.710229705471698 0.0898617475132076 -0.465397244641509 -0.391592146701887 -0.477942227339623 -0.967173824150943 -0.955356139433962 -0.949324091132075 -0.524930315843396 -0.482845887245283 -0.665178660377359 -0.633004339754717 -0.521369246079245 -0.506776106792453 -0.647175294886792 -0.709940216037736 -0.649875727924528 -0.464501592113208 -0.464501592113208 -0.507188014339623 -0.526861293603774 -0.711552151320755 -0.462599661584906 -0.426791168535849 -0.490774095490566 -0.560009661679245 -0.485725791328302 -0.697157460566038 -0.656908446245283 -0.505452178679245 -0.549738380188679 -0.560663078477359 -0.531459204924528 -0.570394650707547 -0.734413248867924
